ticker,month,total_return_pct,source,fetched_at
GSG,2012-01,2.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-02,6.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-03,-3.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-04,-0.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-05,-12.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-06,0.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-07,5.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-08,7.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-09,-2.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-10,-4.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-11,1.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2012-12,-0.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-01,4.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-02,-5.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-03,1.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-04,-4.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-05,-1.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-06,-0.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-07,5.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-08,3.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-09,-3.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-10,-1.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-11,-0.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2013-12,1.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-01,-2.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-02,4.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-03,-0.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-04,1.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-05,-0.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-06,2.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-07,-5.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-08,-1.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-09,-6.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-10,-5.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-11,-10.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2014-12,-13.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-01,-8.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-02,5.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-03,-6.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-04,10.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-05,-2.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-06,-0.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-07,-14.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-08,0.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-09,-6.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-10,-0.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-11,-9.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2015-12,-8.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-01,-5.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-02,-2.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-03,4.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-04,10.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-05,1.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-06,0.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-07,-10.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-08,2.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-09,4.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-10,-1.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-11,2.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2016-12,5.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-01,-1.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-02,0.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-03,-4.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-04,-2.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-05,-1.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-06,-1.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-07,4.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-08,-1.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-09,3.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-10,3.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-11,1.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2017-12,3.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-01,3.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-02,-3.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-03,2.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-04,4.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-05,1.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-06,1.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-07,-3.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-08,1.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-09,3.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-10,-6.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-11,-11.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2018-12,-7.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-01,8.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-02,3.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-03,1.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-04,2.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-05,-8.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-06,4.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-07,-0.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-08,-4.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-09,1.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-10,0.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-11,0.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2019-12,6.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-01,-10.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-02,-7.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-03,-30.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-04,-8.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-05,15.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-06,5.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-07,3.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-08,4.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-09,-4.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-10,-3.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-11,12.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2020-12,5.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-01,4.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-02,10.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-03,-1.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-04,8.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-05,2.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-06,4.1,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-07,1.3,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-08,-2.4,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-09,6.0,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-10,5.9,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-11,-10.6,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2021-12,7.2,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2022-01,11.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2022-02,8.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2022-03,8.8,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2022-04,4.5,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2022-05,5.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2022-06,-7.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
GSG,2022-07,-0.7,Yahoo Finance adjusted close (1mo),2026-04-11T05:38:28+00:00
